level,operator_rows,full_actual_time_sum,chunk_actual_time_sum,chunk_sum_to_full_ratio,chunk_sum_mape_like,chunk_sum_accuracy,mean_operator_relative_error,median_operator_relative_error,estimated_repeated_overhead_sum,ds_type,chunk_size,pipeline_category,pipeline_base_name
by_ds_type_chunk_size,11,11776.477,17664.309999999998,1.499965566951814,49.99655669518139,50.00344330481861,3124.2002920801588,1657.991165396816,5887.833,audio,100,,
by_ds_type_chunk_size,11,11776.477,14963.079,1.2705904320961183,27.059043209611826,72.94095679038817,1540.9684978859116,793.3948000355756,3186.602,audio,200,,
by_ds_type_chunk_size,11,11776.477,13401.372,1.1379780217801978,13.79780217801978,86.20219782198022,597.3787157923874,262.2513414959533,1624.8949999999998,audio,500,,
by_ds_type_chunk_size,11,11776.477,12898.982000000002,1.0953175554964358,9.53175554964359,90.46824445035641,305.4072208522522,122.76540867451307,1122.5049999999999,audio,1000,,
by_ds_type_chunk_size,23,340.4460000000001,22884.233999999997,67.21839586894835,6621.839586894835,-6521.839586894835,17176.739362107775,10427.257525083613,22543.787999999997,image,100,,
by_ds_type_chunk_size,23,340.4460000000001,13924.288999999999,40.900139816593516,3990.0139816593514,-3890.0139816593514,8967.640041904697,5467.67690434312,13583.843,image,200,,
by_ds_type_chunk_size,23,340.4460000000001,7057.963,20.731519829870223,1973.1519829870222,-1873.1519829870222,3794.051048200191,2378.7207357859534,6717.517000000001,image,500,,
by_ds_type_chunk_size,23,340.4460000000001,4275.065,12.557248432937966,1155.7248432937965,-1055.7248432937965,2126.763328622894,1293.9207590266185,3934.6189999999997,image,1000,,
by_ds_type_chunk_size,59,145.183,10414.146999999997,71.7311737600132,7073.117376001321,-6973.117376001321,8437.877279918663,9728.054862842891,10268.964,text,100,,
by_ds_type_chunk_size,59,145.183,5397.784,37.17917387021897,3617.917387021897,-3517.917387021897,4265.316085554857,4823.229813664596,5252.601,text,200,,
by_ds_type_chunk_size,59,145.183,2195.348,15.121246977951964,1412.1246977951964,-1312.1246977951964,1661.6495749140383,1873.5660847880297,2050.1650000000004,text,500,,
by_ds_type_chunk_size,59,145.183,1106.7949999999998,7.623447648829408,662.3447648829408,-562.3447648829408,783.100732447833,886.1111111111111,961.6120000000001,text,1000,,
by_pipeline_category_chunk_size,4,2892.031,4722.846,1.6330551090219987,63.305510902199856,36.694489097800144,4146.793797155601,3525.8959970903347,1830.8149999999998,audio,100,filter-heavy,
by_pipeline_category_chunk_size,4,2892.031,3795.616,1.3124395969476124,31.243959694761227,68.75604030523877,2049.9914360354956,1732.243628740758,903.5850000000002,audio,200,filter-heavy,
by_pipeline_category_chunk_size,4,2892.031,3355.1969999999997,1.1601525018231131,16.015250182311313,83.98474981768868,793.257020117178,660.036857976323,463.16600000000005,audio,500,filter-heavy,
by_pipeline_category_chunk_size,4,2892.031,3128.014,1.0815976730539887,8.159767305398876,91.84023269460113,416.5289084979256,385.2180444369782,235.98299999999986,audio,1000,filter-heavy,
by_pipeline_category_chunk_size,3,5020.214000000001,6831.046,1.3607081291753695,36.07081291753696,63.92918708246304,648.3776483976075,75.33319889967316,1810.832,audio,100,mapper-heavy,
by_pipeline_category_chunk_size,3,5020.214000000001,6077.365000000001,1.2105788717373402,21.05788717373402,78.94211282626598,310.10761686372814,32.06547172898173,1057.1509999999996,audio,200,mapper-heavy,
by_pipeline_category_chunk_size,3,5020.214000000001,5615.635,1.118604704899034,11.860470489903403,88.1395295100966,116.66048241220741,11.806826439803517,595.4209999999998,audio,500,mapper-heavy,
by_pipeline_category_chunk_size,3,5020.214000000001,5484.37,1.092457413170036,9.245741317003597,90.75425868299641,57.88690661645054,8.52182659748147,464.1559999999999,audio,1000,mapper-heavy,
by_pipeline_category_chunk_size,4,3864.232,6110.418,1.5812761759645901,58.127617596459004,41.872382403540996,3958.473769766629,3747.475499318307,2246.186,audio,100,mixed,
by_pipeline_category_chunk_size,4,3864.232,5090.098,1.3172340584105717,31.72340584105716,68.27659415894284,1955.0912205029658,1840.7766111137548,1225.8660000000004,audio,200,mixed,
by_pipeline_category_chunk_size,4,3864.232,4430.54,1.146551242264957,14.655124226495717,85.34487577350428,762.0390865027318,717.877053735229,566.3079999999999,audio,500,mixed,
by_pipeline_category_chunk_size,4,3864.232,4286.598,1.1093014084040502,10.930140840405027,89.06985915959497,379.92576888343,370.60261935369203,422.36600000000004,audio,1000,mixed,
by_pipeline_category_chunk_size,8,55.566,4903.844999999999,88.25261850772053,8725.261850772054,-8625.261850772054,24284.136839607494,14436.238623876448,4848.279,image,100,filter-heavy,
by_pipeline_category_chunk_size,8,55.566,2440.197,43.91528992549401,4291.528992549401,-4191.528992549401,11855.021123056527,7067.822329982336,2384.631,image,200,filter-heavy,
by_pipeline_category_chunk_size,8,55.566,1049.777,18.892434222366195,1789.2434222366194,-1689.2434222366194,4813.058620815288,2909.4629704498475,994.211,image,500,filter-heavy,
by_pipeline_category_chunk_size,8,55.566,621.725,11.188946478062125,1018.8946478062123,-918.8946478062123,2651.9813839334815,1691.4687891975166,566.159,image,1000,filter-heavy,
by_pipeline_category_chunk_size,7,202.44000000000003,10660.338000000002,52.65924718435092,5165.924718435092,-5065.924718435092,7698.755481129585,7879.49474625531,10457.898000000001,image,100,mapper-heavy,
by_pipeline_category_chunk_size,7,202.44000000000003,7503.132,37.06348547717842,3606.348547717842,-3506.348547717842,4810.790386086496,4716.011369019422,7300.692,image,200,mapper-heavy,
by_pipeline_category_chunk_size,7,202.44000000000003,4349.705,21.486391029440817,2048.639102944082,-1948.639102944082,2528.7120061699543,1897.5840833728093,4147.264999999999,image,500,mapper-heavy,
by_pipeline_category_chunk_size,7,202.44000000000003,2657.973,13.12968286899822,1212.968286899822,-1112.968286899822,1526.071476984533,969.0735602625704,2455.5330000000004,image,1000,mapper-heavy,
by_pipeline_category_chunk_size,8,82.44,7320.0509999999995,88.7924672489083,8779.246724890829,-8679.246724890829,18362.577780463973,11044.833190197081,7237.611000000001,image,100,mixed,
by_pipeline_category_chunk_size,8,82.44,3980.9599999999996,48.289180009704026,4728.918000970402,-4628.918000970402,9717.502409593788,6095.2518270071805,3898.5199999999995,image,200,mixed,
by_pipeline_category_chunk_size,8,82.44,1658.4810000000002,20.117430858806408,1911.7430858806408,-1811.7430858806408,3882.215137361554,2513.2117251801596,1576.041,image,500,mixed,
by_pipeline_category_chunk_size,8,82.44,995.367,12.073835516739447,1107.3835516739446,-1007.3835516739446,2127.150643495872,1398.7057808511017,912.9269999999999,image,1000,mixed,
by_pipeline_category_chunk_size,23,56.175000000000004,4846.589,86.27661771250555,8527.661771250556,-8427.661771250556,9016.619904057437,9855.156746933213,4790.414000000001,text,100,filter-heavy,
by_pipeline_category_chunk_size,23,56.175000000000004,2477.787999999999,44.108375611926995,4310.837561192699,-4210.837561192699,4512.408981476947,4891.368680641183,2421.613,text,200,filter-heavy,
by_pipeline_category_chunk_size,23,56.175000000000004,994.9770000000001,17.712096128170895,1671.2096128170895,-1571.2096128170895,1748.4274986523842,1891.0040890504315,938.8019999999998,text,500,filter-heavy,
by_pipeline_category_chunk_size,23,56.175000000000004,493.17,8.779172229639519,777.9172229639519,-677.9172229639519,820.4922220898845,903.9711191335741,436.995,text,1000,filter-heavy,
by_pipeline_category_chunk_size,16,38.452999999999996,2809.3830000000003,73.0601773593738,7206.017735937379,-7106.017735937379,7648.136362632309,7389.206023021122,2770.9300000000003,text,100,mapper-heavy,
by_pipeline_category_chunk_size,16,38.452999999999996,1540.504,40.0619977635035,3906.19977635035,-3806.19977635035,4058.0565069858894,4699.660471855934,1502.051,text,200,mapper-heavy,
by_pipeline_category_chunk_size,16,38.452999999999996,632.426,16.446727173432507,1544.6727173432505,-1444.6727173432505,1600.6133873319995,1853.07117915344,593.9730000000001,text,500,mapper-heavy,
by_pipeline_category_chunk_size,16,38.452999999999996,317.58899999999994,8.259147530751827,725.9147530751827,-625.9147530751827,752.0194100812804,873.1103205355458,279.13599999999997,text,1000,mapper-heavy,
by_pipeline_category_chunk_size,20,50.55499999999999,2758.1749999999993,54.55790722974977,5355.790722974977,-5255.790722974977,8404.11599598815,9564.784802656963,2707.6199999999994,text,100,mixed,
by_pipeline_category_chunk_size,20,50.55499999999999,1379.492,27.28695480170112,2628.695480170112,-2528.695480170112,4146.966918099625,4752.3999076608125,1328.937,text,200,mixed,
by_pipeline_category_chunk_size,20,50.55499999999999,567.9450000000002,11.23420037582831,1023.4200375828312,-923.4200375828312,1610.6839126805717,1831.3545754198713,517.39,text,500,mixed,
by_pipeline_category_chunk_size,20,50.55499999999999,296.036,5.855721491444962,485.5721491444961,-385.5721491444961,764.9655772527157,874.6812645691557,245.48100000000002,text,1000,mixed,
by_pipeline_chunk_size,4,3864.232,6110.418,1.5812761759645901,58.127617596459004,41.872382403540996,3958.473769766629,3747.475499318307,2246.186,audio,100,mixed,audio_pipeline_1781071552218
by_pipeline_chunk_size,4,3864.232,5090.098,1.3172340584105717,31.72340584105716,68.27659415894284,1955.0912205029658,1840.7766111137548,1225.8660000000004,audio,200,mixed,audio_pipeline_1781071552218
by_pipeline_chunk_size,4,3864.232,4430.54,1.146551242264957,14.655124226495717,85.34487577350428,762.0390865027318,717.877053735229,566.3079999999999,audio,500,mixed,audio_pipeline_1781071552218
by_pipeline_chunk_size,4,3864.232,4286.598,1.1093014084040502,10.930140840405027,89.06985915959497,379.92576888343,370.60261935369203,422.36600000000004,audio,1000,mixed,audio_pipeline_1781071552218
by_pipeline_chunk_size,4,2892.031,4722.846,1.6330551090219987,63.305510902199856,36.694489097800144,4146.793797155601,3525.8959970903347,1830.8149999999998,audio,100,filter-heavy,audio_pipeline_1781071552228
by_pipeline_chunk_size,4,2892.031,3795.616,1.3124395969476124,31.243959694761227,68.75604030523877,2049.9914360354956,1732.243628740758,903.5850000000002,audio,200,filter-heavy,audio_pipeline_1781071552228
by_pipeline_chunk_size,4,2892.031,3355.1969999999997,1.1601525018231131,16.015250182311313,83.98474981768868,793.257020117178,660.036857976323,463.16600000000005,audio,500,filter-heavy,audio_pipeline_1781071552228
by_pipeline_chunk_size,4,2892.031,3128.014,1.0815976730539887,8.159767305398876,91.84023269460113,416.5289084979256,385.2180444369782,235.98299999999986,audio,1000,filter-heavy,audio_pipeline_1781071552228
by_pipeline_chunk_size,3,5020.214000000001,6831.046,1.3607081291753695,36.07081291753696,63.92918708246304,648.3776483976075,75.33319889967316,1810.832,audio,100,mapper-heavy,audio_pipeline_1781071552263
by_pipeline_chunk_size,3,5020.214000000001,6077.365000000001,1.2105788717373402,21.05788717373402,78.94211282626598,310.10761686372814,32.06547172898173,1057.1509999999996,audio,200,mapper-heavy,audio_pipeline_1781071552263
by_pipeline_chunk_size,3,5020.214000000001,5615.635,1.118604704899034,11.860470489903403,88.1395295100966,116.66048241220741,11.806826439803517,595.4209999999998,audio,500,mapper-heavy,audio_pipeline_1781071552263
by_pipeline_chunk_size,3,5020.214000000001,5484.37,1.092457413170036,9.245741317003597,90.75425868299641,57.88690661645054,8.52182659748147,464.1559999999999,audio,1000,mapper-heavy,audio_pipeline_1781071552263
by_pipeline_chunk_size,7,202.44000000000003,10660.338000000002,52.65924718435092,5165.924718435092,-5065.924718435092,7698.755481129585,7879.49474625531,10457.898000000001,image,100,mapper-heavy,image_pipeline_1781071560242
by_pipeline_chunk_size,7,202.44000000000003,7503.132,37.06348547717842,3606.348547717842,-3506.348547717842,4810.790386086496,4716.011369019422,7300.692,image,200,mapper-heavy,image_pipeline_1781071560242
by_pipeline_chunk_size,7,202.44000000000003,4349.705,21.486391029440817,2048.639102944082,-1948.639102944082,2528.7120061699543,1897.5840833728093,4147.264999999999,image,500,mapper-heavy,image_pipeline_1781071560242
by_pipeline_chunk_size,7,202.44000000000003,2657.973,13.12968286899822,1212.968286899822,-1112.968286899822,1526.071476984533,969.0735602625704,2455.5330000000004,image,1000,mapper-heavy,image_pipeline_1781071560242
by_pipeline_chunk_size,8,82.44,7320.0509999999995,88.7924672489083,8779.246724890829,-8679.246724890829,18362.577780463973,11044.833190197081,7237.611000000001,image,100,mixed,image_pipeline_1781071560252
by_pipeline_chunk_size,8,82.44,3980.9599999999996,48.289180009704026,4728.918000970402,-4628.918000970402,9717.502409593788,6095.2518270071805,3898.5199999999995,image,200,mixed,image_pipeline_1781071560252
by_pipeline_chunk_size,8,82.44,1658.4810000000002,20.117430858806408,1911.7430858806408,-1811.7430858806408,3882.215137361554,2513.2117251801596,1576.041,image,500,mixed,image_pipeline_1781071560252
by_pipeline_chunk_size,8,82.44,995.367,12.073835516739447,1107.3835516739446,-1007.3835516739446,2127.150643495872,1398.7057808511017,912.9269999999999,image,1000,mixed,image_pipeline_1781071560252
by_pipeline_chunk_size,8,55.566,4903.844999999999,88.25261850772053,8725.261850772054,-8625.261850772054,24284.136839607494,14436.238623876448,4848.279,image,100,filter-heavy,image_pipeline_1781071560263
by_pipeline_chunk_size,8,55.566,2440.197,43.91528992549401,4291.528992549401,-4191.528992549401,11855.021123056527,7067.822329982336,2384.631,image,200,filter-heavy,image_pipeline_1781071560263
by_pipeline_chunk_size,8,55.566,1049.777,18.892434222366195,1789.2434222366194,-1689.2434222366194,4813.058620815288,2909.4629704498475,994.211,image,500,filter-heavy,image_pipeline_1781071560263
by_pipeline_chunk_size,8,55.566,621.725,11.188946478062125,1018.8946478062123,-918.8946478062123,2651.9813839334815,1691.4687891975166,566.159,image,1000,filter-heavy,image_pipeline_1781071560263
by_pipeline_chunk_size,16,38.452999999999996,2809.3830000000003,73.0601773593738,7206.017735937379,-7106.017735937379,7648.136362632309,7389.206023021122,2770.9300000000003,text,100,mapper-heavy,text_pipeline_1781071569367
by_pipeline_chunk_size,16,38.452999999999996,1540.504,40.0619977635035,3906.19977635035,-3806.19977635035,4058.0565069858894,4699.660471855934,1502.051,text,200,mapper-heavy,text_pipeline_1781071569367
by_pipeline_chunk_size,16,38.452999999999996,632.426,16.446727173432507,1544.6727173432505,-1444.6727173432505,1600.6133873319995,1853.07117915344,593.9730000000001,text,500,mapper-heavy,text_pipeline_1781071569367
by_pipeline_chunk_size,16,38.452999999999996,317.58899999999994,8.259147530751827,725.9147530751827,-625.9147530751827,752.0194100812804,873.1103205355458,279.13599999999997,text,1000,mapper-heavy,text_pipeline_1781071569367
by_pipeline_chunk_size,20,50.55499999999999,2758.1749999999993,54.55790722974977,5355.790722974977,-5255.790722974977,8404.11599598815,9564.784802656963,2707.6199999999994,text,100,mixed,text_pipeline_1781071569512
by_pipeline_chunk_size,20,50.55499999999999,1379.492,27.28695480170112,2628.695480170112,-2528.695480170112,4146.966918099625,4752.3999076608125,1328.937,text,200,mixed,text_pipeline_1781071569512
by_pipeline_chunk_size,20,50.55499999999999,567.9450000000002,11.23420037582831,1023.4200375828312,-923.4200375828312,1610.6839126805717,1831.3545754198713,517.39,text,500,mixed,text_pipeline_1781071569512
by_pipeline_chunk_size,20,50.55499999999999,296.036,5.855721491444962,485.5721491444961,-385.5721491444961,764.9655772527157,874.6812645691557,245.48100000000002,text,1000,mixed,text_pipeline_1781071569512
by_pipeline_chunk_size,23,56.175000000000004,4846.589,86.27661771250555,8527.661771250556,-8427.661771250556,9016.619904057437,9855.156746933213,4790.414000000001,text,100,filter-heavy,text_pipeline_1781071569701
by_pipeline_chunk_size,23,56.175000000000004,2477.787999999999,44.108375611926995,4310.837561192699,-4210.837561192699,4512.408981476947,4891.368680641183,2421.613,text,200,filter-heavy,text_pipeline_1781071569701
by_pipeline_chunk_size,23,56.175000000000004,994.9770000000001,17.712096128170895,1671.2096128170895,-1571.2096128170895,1748.4274986523842,1891.0040890504315,938.8019999999998,text,500,filter-heavy,text_pipeline_1781071569701
by_pipeline_chunk_size,23,56.175000000000004,493.17,8.779172229639519,777.9172229639519,-677.9172229639519,820.4922220898845,903.9711191335741,436.995,text,1000,filter-heavy,text_pipeline_1781071569701
